id;name;description;priority;created_date;created_by;last_modified_by;last_modified_date
f61460bb-52c6-4c99-a5fd-8bc7bf21553e;budgetary compress SCSI;red Mission Handcrafted;LOW;2023-05-30T22:42:25;connecting Officer;calculate Computers;2023-05-30T23:39:28
07b0f679-3e43-4bef-b7e5-3cac82fe3a6c;Cotton Liaison;Extension HDD Jewelery;MEDIUM;2023-05-30T15:22:32;Metal web-enabled connecting;technologies;2023-05-30T12:36:05
1e8e58b2-52fa-4ce9-b322-8c42e189d6e3;Forward payment;Lead Cambridgeshire;LOW;2023-05-31T02:57:01;circuit firewall;navigate intranet Avenue;2023-05-30T12:43:11
0865db09-63a1-4a40-a1fd-04cd75b9edad;unleash RAM;B2B global Dinar;MEDIUM;2023-05-31T07:49:32;panel cyan Sausages;white Director;2023-05-30T23:12:29
7171a151-9a09-4714-ba2d-2fdd88efc95f;solutions auxiliary;Sleek;HIGHEST;2023-05-30T21:48:02;payment Wooden compressing;Tunisian;2023-05-30T13:51:51
692d19bc-1ad5-42b3-8546-260fe65746c7;interface;withdrawal Keyboard;LOWEST;2023-05-30T23:36:02;mint;value-added Loan hack;2023-05-31T00:48:22
a688fb33-a17a-4875-8381-67ea531b9661;transparent;clear-thinking application;MEDIUM;2023-05-31T00:44:15;Avon;streamline website;2023-05-30T12:52:33
3e3dde08-4819-495a-9329-45856a8c46cb;technologies Concrete deposit;Fantastic Fantastic;HIGHEST;2023-05-30T12:23:25;Specialist optimal port;THX User-friendly;2023-05-30T21:44:18
7768c572-d39d-43b6-a2db-1457fd12a8c4;Michigan Zambian Palladium;Pizza Configuration;HIGH;2023-05-30T23:03:31;panel Movies;Handmade calculate;2023-05-31T02:57:18
6617585d-3ada-4022-a54b-3a88ba552bdd;Well;Buckinghamshire;HIGHEST;2023-05-30T13:16:50;open-source incentivize;Coordinator;2023-05-30T20:36:29
